,instruction,input,output
0,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Are there any taxes applicable on this account?,Zakat and taxes are applicable as per law.
1,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What will be the monthly insurance charges on a vehicle valuing Rs.3 million?,"With the current insurance rate of 1.75% per annum, it will be Rs.4,375/- per month. Insurance rate once fixed, shall remain unchanged during the whole tenor of financing."
2,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is RDA Digital Customer Onboarding?,"RDA Digital Customer Onboarding is an innovative service by NUST Bank that allows customers to open and manage their accounts digitally, providing a seamless experience without the need for physical visits."
3,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Is there any condition related to bank account maintenance for availing NUST Imarat Finance?,Minimum 1 year bank account statement with NUST or Minimum 2 years bank statement with any other bank.
4,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is Home Remittance?,"Home Remittance Service enables remitters to send money from abroad to Pakistan instantly, conveniently, and safely through the legal banking channel."
5,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Does the bank require any Equity for this scheme?,AIF 1 & AIF 2: Minimum 30% (Existing business) & Minimum 40% (New Business). AIF 3 & AIF 4: Nil for Existing business & Minimum 25% (New Business).
6,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Does the bank require any Equity for this scheme?,AIF 1 & AIF 2: Minimum 30% (Existing business) & Minimum 40% (New Business). AIF 3 & AIF 4: Nil for Existing business & Minimum 25% (New Business).
7,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Is Zakat and WHT taxes applicable on Roshan Digital Account?,Zakat and WHT taxes on profit are not applicable on RDA account.
8,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Are there any Credit and Debit limits in NUST Freelancer Digital Account?,"The following Transaction limits apply: Maximum Credit Balance Limit USD 5,000 or equivalent, Monthly Debit Limit USD 5,000 or equivalent, Cash Withdrawal Limit PKR 500,000 or equivalent / per day."
9,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries","For All NUST Life Banca Products, are brochures available?","Yes, brochures for all NUST Life Banca products are available."
10,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What types of Housing Finance products does NUST offer?,"Purchase of House/ Apartment/ Flat/ Residential Unit, Purchase of Plot (+) plus Construction, Construction of House/ Residential Unit on already owned residential plot, Renovation of House/ Apartment/ Flat/ Residential Unit, Extension/ Expansion/ Improvement, Balance Transfer Facility (BTF) against existing financing facility of borrower from other banks/DFIs. Note: Housing finance will not be allowed purely for the purchase of land/ plot."
11,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the Little Champs Account?,The Little Champs Account is a product designed specifically for minors (individuals below the age of 18 years). A child requires the help of a parental/legal guardian to open this account and avail its facilities.
12,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What are the service/documentation/legal charges in NUST Ujala Finance?,At actual.
13,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Is there any minimum age to avail financing in NUST Rice Finance?,"Minimum 20 years (in case of sole proprietorship), Maximum 65 years at the time of application. This criteria is not applicable if business concern is a partnership or limited company. This age can be relaxed in case of effective succession planning is available."
14,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What are the processing charges for NUST Flour Mill Finance Application?,"Processing fee will be charged @ 0.15% of total limit(s) processed/approved or Rs. 25,000/- whichever is higher."
