cid,topic,text
1,Các chương trình khuyến mãi,"1.Tiên phong kết nối thanh toán – Đồng hành trải nghiệm Giao Thông Xanh 
Khách hàng áp dụng 
Chủ thẻ thanh toán Sacombank Mastercard MultiPass và Sacombank Mastercard Metro Pass 
Thông tin chi tiết chương trình 
Ưu đãi đến 30.06.2025  
Thứ 2: Miễn phí Metro 
Thứ 3: Ưu đãi Water Bus & quà tặng 
Thứ 4: Ưu đãi Buggy & quà tặng 
Thứ 5: Miễn phí xe đạp công cộng 
Thứ 6: Miễn phí Bus 
Ưu đãi Thẻ Sacombank Mastercard MutliPass: 
• Miễn phí thường niên trọn đời. 
• Tặng 100% giá trị giao dịch thanh toán chạm qua cổng soát vé tự động tại các ga Metro, 
xe Bus thuộc hệ sinh thái MultiPass (11.04 - 31.12.2025). 
• Đồng giá 5.000 VND/lượt đi xe Bus. Danh sách đơn vị áp dụng tại đây. 
Ưu đãi Thẻ Sacombank Mastercard Metro Pass: 
• Miễn phí thường niên trọn đời khi mở thẻ phi vật lý trên ứng dụng Sacombank Pay. 
• Miễn phí thường niên năm đầu khi mở thẻ tại quầy, ứng dụng HCMC Metro HURC 
• Tặng 50.000 VND khi kích hoạt thẻ thành công (đến 30.06.2025). 
• Tặng 100% giá trị giao dịch thanh toán chạm qua cổng soát vé tự động tại các ga Metro 
(25.04 - 31.12.2025) 
Và hơn thế nữa: 
• Giảm đến 50% ăn uống, mua sắm, du lịch... 
• Ưu đãi đặc biệt khắp thế giới từ tổ chức thẻ Mastercard. 
• Giao dịch online và thanh toán tại hàng triệu điểm chấp nhận thẻ trên thế giới. 
• Rút tiền mặt tại ATM có biểu tượng Mastercard trên toàn thế giới. "
2,Các chương trình khuyến mãi,"2. Tích lũy thông minh – Đỉnh cao sinh lời 
Thời gian áp dụng: lâu dài 
Kênh áp dụng 
Ứng dụng Sacombank Pay & web iBanking. 
Khách hàng áp dụng 
Khách hàng cá nhân. 
Thông tin chi tiết chương trình 
• Khách hàng gửi tiết kiệm trực tuyến (online) qua ứng dụng Sacombank Pay sẽ được 
hưởng lãi suất cao hơn tại quầy 0,7%/năm đối với kỳ hạn 6-18-24 tháng; từ 0,4 - 
0,6%/năm đối với các kỳ hạn còn lại. Lãi suất cao nhất lên đến 5,7%/năm. 
• Linh hoạt nộp, rút, tất toán & nhận lãi cả ngày nghỉ/lễ. 
• Được cấp hợp đồng tiền gửi. 
• Nhận thông báo giao dịch qua Sacombank Pay."
3,Các chương trình khuyến mãi,"3. Chứng chỉ tiền gửi - Gắn kết sinh lời vượt bậc 
Khách hàng áp dụng 
Khách hàng cá nhân và tổ chức 
Thông tin chi tiết chương trình 
• Hạn mức phát hành: 5.000 tỷ 
• Thời hạn: 7 năm 
• Lãi suất: 7,1%/năm 
• Có thể rút vốn từng phần và chuyển nhượng linh hoạt khi có nhu cầu"
4,Các chương trình khuyến mãi,"4. Tặng thẻ xanh - Trao lãi sốc 
Khách hàng áp dụng 
Khách hàng cá nhân thỏa điều kiện 
Thông tin chi tiết chương trình 
Mở mới thẻ Sacombank Visa Platinum O₂ (Đến 30.06.2025) 
• Hoàn 600.000 VND cho khách hàng mở mới thẻ. 
• Hoàn 500.000 VND cho khách hàng hiện hữu mở thêm thẻ. 
Áp dụng khi khách hàng có giao dịch thanh toán cộng dồn đạt 2 triệu VND trong vòng 30 
ngày từ ngày kích hoạt thẻ. Chương trình có thể kết thúc trước thời hạn khi hết ngân sách ưu 
đãi. 
Giao dịch thẻ tín dụng cá nhân Sacombank (14.04 – 31.12.2025) 
• Thẻ Sacombank Visa Platinum O₂:  
• Ưu đãi lãi suất sốc chỉ 0,8%/tháng (9,88%/năm.) Áp dụng cho chủ thẻ mới 
là sinh viên 
• Hoàn phí chuyển đổi trả góp (tối đa 1 triệu VND) khi giao dịch thanh toán và 
đăng ký trả góp 3 - 6 tháng trên Sacombank Pay. 
• Tất cả thẻ tín dụng cá nhân: Ưu đãi lãi suất vay tiêu dùng từ thẻ trên Sacombank 
Pay: 
Thời hạn vay - Lãi suất ưu đãi 
Từ 2 tháng - 5 tháng - 12%/năm 
Từ 6 tháng - 60 tháng - 15.6%/năm 
Nhiều ưu đãi hấp dẫn khác với thẻ Sacombank Visa Platinum O₂: 
• Hoàn 10% khi chi tiêu xanh tại: Decathlon, Vinamilk, Xanh SM. 
• Giảm 30% cước dịch vụ Car và Bike tại ứng dụng Xanh SM. 
• Ưu đãi đến 50% mua sắm, ẩm thực, du lịch, thời trang, giải trí,...  
• Trả góp 0% tại nhiều thương hiệu lớn"
5,Các chương trình khuyến mãi,"5. Vay siêu nhanh, lái xe Xanh 
Khách hàng áp dụng 
Khách hàng cá nhân 
Thông tin chi tiết chương trình 
Gói vay mua xe ô tô VinFast mục đích tiêu dùng, phục vụ đời sống, kinh doanh 
• Lãi suất ưu đãi chỉ từ 7,5%/năm.   
• Thế chấp bằng chính xe mua với tỷ lệ đến 80%, thời hạn vay đến 8 năm 
Thanh toán khoản vay dễ dàng với các tính năng: 
• Thanh toán trực tuyến khoản vay qua app Sacombank Pay hoặc Internet Banking  
• Trích nợ tự động từ tài khoản thanh toán (đối với khách hàng có đăng ký) 
  Ưu đãi khác:  
• Tặng thêm Tài khoản đẹp theo số điện thoại, ngày sinh nhật, ngày kỷ niệm riêng...   
• Thông báo giao dịch miễn phí qua app Sacombank Pay 
"
6,Các chương trình khuyến mãi,"Khách hàng áp dụng 
• Người giới thiệu: Khách hàng cá nhân có sử dụng ứng dụng Sacombank Pay giới 
thiệu bạn bè, người thân tải, đăng ký và mở tài khoản thanh toán (TKTT) trên 
Sacombank Pay. 
• Người được giới thiệu: Khách hàng cá nhân chưa sử dụng ứng dụng Sacombank Pay 
trước thời điểm triển khai chương trình. 
Thông tin chi tiết chương trình 
1. Nội dung chương trình 
• Người giới thiệu: Tặng đến 50.000 VND cho mỗi lượt giới thiệu khách hàng tải, 
đăng ký và mở TKTT trên Sacombank Pay. Không giới hạn số lượt tặng. Mức tặng 
như sau: 
Số lượt giới thiệu trong 
tháng Mức tặng 
Dưới 10 lượt 30.000 VND/lượt 
Từ 10 đến dưới 20 lượt 40.000 VND/lượt 
Từ 20 lượt trở lên 50.000 VND/lượt 
• Người được giới thiệu: Tặng tiền khi Khách hàng tải, đăng ký, định danh, mở mới 
TKTT trên Sacombank Pay và phát sinh giao dịch tối thiểu 50.000 VND trên TKTT 
trong tháng mở tài khoản. 
Tùy vào thời gian giao dịch, mỗi khách hàng chỉ được tặng 1 lần trong chương trình với 
mức tặng như sau: 
Thời gian thực hiện giao dịch kể từ khi mở - TKTT Mức tặng 
Trong vòng 2 ngày 50.000 VND 
Từ ngày thứ 3 đến ngày thứ 14 40.000 VND 
Từ ngày thứ 15 trở đi 30.000 VND 
• Điều kiện: Người được giới thiệu nhập mã giới thiệu."
7,ĐIỀU KHOẢN VÀ ĐIỀU KIỆN MỞ VÀ SỬ DỤNG TÀI KHOẢN ,"Điều khoản và điều kiện mở và sử dụng tài khoản cùng với Giấy/Phiếu/Đơn hoặc văn bản, dữ liệu 
điện tử về việc đăng ký mở và sử dụng tài khoản thanh toán (“Đề nghị mở tài khoản”) tạo thành 
một Hợp đồng về mở và sử dụng tài khoản thanh toán hoàn chỉnh (“Hợp đồng”) giữa Sacombank 
và KH. Bằng việc xác nhận đồng ý với bản điều khoản và điều kiện này thông qua ký sống tại văn 
bản  giấy  hoặc nhấp  chọn đồng  ý  tại màn hình đăng ký dịch  vụ,  KH  thừa  nhận: (i) KH đã được 
Sacombank cung cấp đầy đủ và xem xét kỹ các thông tin về Hợp đồng, sản phẩm, dịch vụ của 
Sacombank trước khi chấp nhận mở TK (ii) KH đã đọc, hiểu, chấp nhận bị ràng buộc bởi các quyền 
và nghĩa vụ tại bản điều khoản và điều kiện này. "
8,ĐIỀU KHOẢN VÀ ĐIỀU KIỆN MỞ VÀ SỬ DỤNG TÀI KHOẢN ,"ĐIỀU 1. GIẢI THÍCH TỪ NGỮ 
Các từ ngữ sử dụng trong bản điều khoản và điều kiện này được hiểu như sau: 
1. Sacombank: là Ngân hàng TMCP Sài Gòn Thương Tín.  
2. Khách hàng (KH): bao gồm tổ chức hoặc cá nhân đề nghị mở TK và sử dụng TK và là chủ TK 
mở tại Sacombank. 
3. Tài khoản (TK): là TK thanh toán bằng đồng Việt Nam, ngoại tệ do KH là tổ chức hoặc cá 
nhân mở tại Sacombank. Đứng tên chủ TK có thể là một hay nhiều cá nhân, tổ chức. Từ 02 
chủ thể trở lên cùng đứng tên mở TK thì gọi là TK chung. 
4. Tài khoản trực tuyến (TK trực tuyến): là TK của KH mở thông qua phương tiện điện tử sau 
khi hoàn tất thủ tục định danh điện tử theo quy định của Sacombank, không bao gồm TK 
được đăng ký mở thêm thông qua dịch vụ Internet Banking & Mobile Banking. 
5. Định danh điện tử: là việc thu thập, nhận biết, xác minh thông tin KH thông qua phương tiện 
điện tử mà không gặp mặt trực tiếp KH. 
6. Số dư duy trì tối thiểu: là số tiền tối thiểu KH phải duy trì trên TK tại mọi thời điểm trong 
suốt quá trình sử dụng TK theo quy định của Sacombank trong từng thời kỳ. 
7. Số dư được phép sử dụng: là số tiền KH có thể rút tiền mặt, chuyển khoản, sử dụng dịch vụ 
thanh toán trên TK. Số dư được phép sử dụng bằng số dư có trên TK trừ đi các khoản phong 
tỏa, số dư duy trì tối thiểu và cộng hạn mức thấu chi sử dụng (nếu có). 
8. Điểm  giao  dịch: là tất cả các Chi nhánh, Phòng giao dịch thuộc mạng lưới hoạt động của 
Sacombank. 
9. Kênh trực tuyến: là các kênh giao dịch ngân hàng trực tuyến của Sacombank nhằm cung cấp 
sản phẩm, dịch vụ ngân hàng và các tính năng, tiện ích khác đến KH thông qua thiết bị điện 
tử có kết nối mạng Internet. Kênh trực tuyến bao gồm website 
https://www.isacombank.com.vn, ứng dụng mbanking, ứng dụng Sacombank Pay, máy STM 
(Smart Teller Machine) và kênh trực tuyến khác được Sacombank triển khai hoặc hợp tác triển 
khai trong từng thời kỳ."
9,ĐIỀU KHOẢN VÀ ĐIỀU KIỆN MỞ VÀ SỬ DỤNG TÀI KHOẢN ,"10. Ví điện tử (Ví): là TK điện tử định danh do Tổ chức cung ứng Ví điện tử cung cấp cho KH, 
cho phép lưu giữ một giá trị tiền tệ được đảm bảo bằng giá trị tiền gửi tương đương với số 
tiền được chuyển từ TK đồng Việt Nam/Thẻ ghi nợ có liên kết với TK đồng Việt Nam của KH 
vào tài khoản đảm bảo thanh toán của Tổ chức cung ứng Ví điện tử. 
11. Đối  tác:  là  tổ  chức  có  hợp  tác  với Sacombank để  cung  ứng  các  sản  phẩm,  dịch  vụ  của 
Sacombank và đối tác đến Khách hàng như dịch  vụ  mở  TK  trực  tuyến,  dịch  vụ  trung  gian 
thanh toán, ... bao gồm tổ chức cung ứng dịch vụ trung gian thanh toán và các đối tác khác 
mà Sacombank triển khai hợp tác trong từng thời kỳ. 
12. Ứng dụng Đối tác: là ứng dụng trên nền tảng di động được tích hợp tính năng mở TK trực 
tuyến của Sacombank (nếu có), cho phép KH liên kết TK để sử dụng các sản phẩm, dịch vụ do 
Sacombank và Đối tác hợp tác cung cấp đến khách hàng. Dịch vụ mở TK trực tuyến và các 
sản phẩm, dịch vụ ngân hàng là sản phẩm, dịch vụ của Sacombank cung cấp cho KH, không 
phải là sản phẩm, dịch vụ của Đối tác và Ứng dụng Đối tác chỉ đóng vai trò trung gian hỗ trợ 
giao dịch giữa Sacombank và KH.  
13. Mã xác thực (OTP): là mã khóa bí mật có giá trị sử dụng một lần, được sinh ra ngẫu nhiên 
bởi hệ thống và có hiệu lực trong một khoảng thời gian nhất định, được sử dụng để xác thực 
giao dịch do chính KH thực hiện. Phương thức nhận OTP là tin nhắn SMS qua số điện thoại 
mà KH đăng ký khi mở TK hoặc ứng dụng sinh OTP được cài đặt trên thiết bị di động hoặc 
hình thức khác theo quy định của Sacombank từng thời kỳ. Tùy từng loại giao dịch và hạn 
mức giao dịch, Sacombank sẽ yêu cầu KH sử dụng loại OTP phù hợp với quy định của pháp 
luật và quy định của Sacombank. 
14. Chữ ký số: là chữ ký điện tử sử dụng thuật toán khóa không đối xứng, gồm khóa bí mật và 
khóa công khai, trong đó khóa bí mật được dùng để ký số và khóa công khai được dùng để 
kiểm tra chữ ký số. Chữ ký số bảo đảm tính  xác thực, tính toàn vẹn và tính chống chối bỏ 
nhưng không bảo đảm tính bí mật của thông điệp dữ liệu.  
15. Website của Sacombank: là website chính thức của  Sacombank  theo  đường dẫn 
www.sacombank.com.vn. "
10,ĐIỀU KHOẢN VÀ ĐIỀU KIỆN MỞ VÀ SỬ DỤNG TÀI KHOẢN ,"ĐIỀU 2.  QUY ĐỊNH CHUNG VỀ MỞ, SỬ DỤNG VÀ QUẢN LÝ TK 
1. Mở tài khoản: 
a. KH cung cấp đầy đủ hồ sơ mở TK theo quy định của Sacombank và chịu trách nhiệm về 
tính xác thực, chính xác, hợp pháp của các thông tin kê khai và hồ sơ mở TK mà mình cung 
cấp. Sacombank có quyền đề nghị KH cung cấp các giấy tờ mở TK phù hợp với yêu cầu 
quản lý của Sacombank và quy định của pháp luật. Giấy tờ pháp lý trong hồ sơ mở TK phải 
còn hiệu lực theo quy định pháp luật, trong đó giấy tờ là bản sao phải có nội dung đầy đủ, 
chính xác, khớp đúng so với bản chính.  
b. Tại mọi thời điểm, KH đồng ý rằng Sacombank có thể: (i) nhận biết KH thông qua bên thứ 
ba; hoặc (ii) xác minh thông tin nhận biết KH thông qua việc thuê tổ chức khác; hoặc (iii) 
khai thác thông tin trong các cơ sở dữ liệu quốc gia theo quy định của pháp luật, thông 
qua cơ quan nhà nước có thẩm quyền, tổ chức khác được thuê để xác minh thông tin KH 
hoặc bên thứ ba nhận biết KH để đối chiếu, xác minh thông tin do KH cung cấp. 
c.  KH  hiểu  rõ  thủ  tục  mở  TK chưa hoàn chỉnh cho đến  khi  Sacombank  nhận được đầy đủ 
thông tin, hồ sơ để mở TK theo quy định của Sacombank và hoàn tất việc xác minh, xác 
thực thông tin KH. 
d. KH cam kết bổ sung đầy đủ, chính xác thông tin, giấy tờ cho Sacombank khi nhận được 
yêu cầu của Sacombank. 
e. Giới hạn số lượng TK: Tổng số TK tối đa mà một KH cá nhân mở tại Sacombank là 03 TK 
đối với cùng một loại tiền (không phân biệt Chi nhánh/Phòng giao dịch và TK mở tại quầy 
hay TK mở thông qua phương thức điện tử) hoặc theo quy định của Sacombank trong từng 
thời  kỳ. Trường  hợp  KH  có  nhu  cầu  mở  TK vượt  quá  Tổng  số  TK  tối đa theo quy định, 
Sacombank có thể từ chối hoặc đồng ý và trường hợp Sacombank đồng ý mở TK, KH phải 
lập Giấy đề nghị theo mẫu của Sacombank, cam kết sử dụng TK đúng mục đích, đồng ý chi 
trả phí quản lý TK và thực hiện các thủ tục khác theo quy định của Sacombank trong từng 
thời kỳ. 
f.  KH sẽ thông báo cho Sacombank ngay khi có bất kỳ sự nhầm lẫn, sai sót trong quá trình 
mở TK và chấp nhận thực hiện theo hướng dẫn từ Sacombank. 
g. Đối tượng mở TK: 
(i) Đối tượng mở TK do Sacombank quy định từng thời kỳ và phù hợp với quy định pháp 
luật. KH cam đoan và đảm bảo rằng KH có đủ điều kiện được mở TK theo quy định của 
Sacombank. 
(ii) Trường hợp chủ TK là cá nhân chưa đủ 15 tuổi, người hạn chế năng lực hành vi dân sự, 
người mất năng lực hành vi dân sự, người có khó khăn trong nhận thức, làm chủ hành 
vi theo quy định của pháp luật Việt Nam thì việc mở và thực hiện giao dịch (bao gồm 
cả đóng TK) được thực hiện theo yêu cầu của người giám hộ, người đại diện theo pháp 
luật của chủ TK. 
(iii)  Đối tượng mở TK thông qua dịch vụ Internet Banking & Mobile Banking: là cá nhân đã 
mở và sử dụng ít nhất 01 TK tại Sacombank, đăng ký sử dụng dịch vụ Internet Banking 
& Mobile Banking và có nhu cầu mở thêm TK thông qua việc sử dụng dịch vụ Internet 
Banking & Mobile Banking. 
(iv)  Kênh đăng ký mở TK: Tùy từng loại TK, đối tượng KH, loại tiền, việc mở TK có thể thực 
hiện thông qua kênh tại quầy hoặc các Kênh trực tuyến của Sacombank."
11,ĐIỀU KHOẢN VÀ ĐIỀU KIỆN MỞ VÀ SỬ DỤNG TÀI KHOẢN ,"ĐIỀU 2.  QUY ĐỊNH CHUNG VỀ MỞ, SỬ DỤNG VÀ QUẢN LÝ TK 
2. Thực hiện giao dịch: 
a. KH có thể đến bất kỳ Điểm giao dịch nào của Sacombank để thực hiện mọi giao dịch liên 
quan đến TK như: nộp tiền, rút tiền, cung ứng dịch vụ thanh toán qua tài khoản (như cung 
ứng phương tiện thanh toán, thực hiện dịch vụ thanh toán séc, lệnh chi, ủy nhiệm chi, nhờ 
thu, ủy nhiệm thu, thẻ ngân hàng, chuyển tiền, thu hộ, chi hộ và các dịch vụ gia tăng khác 
phù hợp với quy định của pháp luật hiện hành), yêu cầu thay đổi thông tin KH, thông tin 
TK, lập giấy ủy quyền, thông báo hủy hoặc thay đổi nội dung ủy quyền, yêu cầu phong tỏa, 
giải tỏa, đóng TK, ... Khi giao dịch tại quầy, KH cần xuất trình giấy tờ tùy thân, giấy tờ chứng 
minh tư cách đại diện hợp pháp để giao dịch/giao nhận chứng từ và sử dụng chữ ký, con 
dấu khớp đúng với thông tin, mẫu chữ ký, mẫu dấu đã đăng ký với Sacombank. 
b. Chứng từ giao dịch phải được lập hợp pháp, hợp lệ và cung cấp đầy đủ hồ sơ chứng minh 
giao dịch theo quy định hiện hành của pháp luật và quy định của Sacombank. Trường hợp 
các chủ TK chung có quốc tịch, tình trạng cư trú khác nhau thì TK chung chỉ được mở và sử 
dụng trong phạm vi được phép của tất cả các chủ TK chung theo quy định pháp luật về 
quản lý ngoại hối.  
c.  Trường hợp KH có nhu cầu giao dịch trên các Kênh trực tuyến, KH sẽ phải thực hiện thủ 
tục đăng ký và/hoặc sử dụng sản phẩm, dịch vụ theo quy định của Sacombank phù hợp 
với Kênh trực tuyến tương ứng. KH được thực hiện các giao dịch trên Kênh trực tuyến theo 
phạm vi đăng ký với Sacombank hoặc phạm vi khác do Sacombank triển khai trong từng 
thời kỳ.  
d. Tùy từng dịch vụ, sản phẩm, giao dịch và hạn mức giao dịch mà KH tham gia trên Kênh 
trực tuyến, KH đồng ý Sacombank sẽ sử dụng một hoặc một số yếu tố sau đây để nhận 
diện, xác thực KH: mã xác thực, thông tin cá nhân, thông tin tài khoản, thẻ đã đăng ký tại 
Sacombank, giấy tờ tùy thân, thẻ ngân hàng, thẻ xác thực, yếu tố sinh trắc học, chữ ký số 
hoặc  sử  dụng  bất  kỳ  yếu  tố, phương thức  xác  thực nào mà KH đã từng đăng ký tại 
Sacombank cho bất kỳ Kênh trực tuyến nào, ... trên cơ sở phù hợp với phương thức xác 
thực mà Sacombank quy định cho dịch vụ, sản phẩm, giao dịch đó và quy định pháp luật 
có liên quan. Bất kỳ giao dịch nào đã được Sacombank thực hiện trên cơ sở kiểm tra (các) 
yếu tố xác thực này được xem là do chính KH là bên duy nhất tạo ra và KH không được 
hủy, phủ nhận, thoái thác bất kỳ giao dịch đã thực hiện trên các Kênh trực tuyến với bất kỳ 
lý do nào. 
e. Trường hợp KH là tổ chức/hoạt động theo ủy quyền của tổ chức thì phải đăng ký và sử 
dụng con dấu trong mọi giao dịch tại quầy với Sacombank ngoại trừ trường hợp tổ chức 
nước  ngoài  không  có  con  dấu  hoặc  các  tổ  chức theo quy định  của  pháp  luật  Việt  Nam 
không có con dấu hoặc Sacombank có quy định khác. 
f.  TK đã mở thành công được liên kết với các Ví điện tử do chính KH là chủ Ví hoặc liên kết 
sử dụng trên Ứng dụng đối tác. Để liên kết TK và/hoặc sử dụng TK liên kết trên Ứng dụng 
đối tác, KH đồng ý sử dụng các biện pháp xác thực liên kết, xác thực giao dịch theo quy 
định của Sacombank trong từng thời kỳ phù hợp với quy định pháp luật. KH có trách nhiệm 
bảo mật OTP và các thông tin được sử dụng để xác thực KH khi liên kết và/hoặc sử dụng 
TK liên kết trên Ứng dụng đối tác, bảo quản các thiết bị bảo mật, điện thoại di động nhận 
OTP. Để hủy liên kết, KH có thể thực hiện trên Ứng dụng đối tác.  
g. Kể từ thời điểm TK với Ví điện tử của KH được liên kết thành công, KH đồng ý ủy quyền 
cho Sacombank báo có TK để thực hiện yêu cầu rút tiền từ Ví về TK, tự động trích tiền từ 
TK đã liên kết để thực hiện các yêu cầu nạp tiền vào Ví, thanh toán hàng hóa, dịch vụ mà 
Sacombank nhận được từ Tổ chức cung ứng Ví điện tử. Các tranh chấp giữa KH và Tổ chức 
cung ứng Ví điện tử trong quá trình sử dụng các dịch vụ trung gian thanh toán do KH và 
Tổ chức cung ứng Ví điện tử tự xử lý, không liên quan đến Sacombank. 
h. Trường hợp TK được liên kết sử dụng trên Ứng dụng đối tác, phạm vi các giao dịch được 
thực hiện trên ứng dụng của từng Đối tác sau khi liên kết TK thành công theo thỏa thuận 
giữa Sacombank và KH và quy định về cung ứng sản phẩm, dịch vụ của Sacombank trong 
từng thời kỳ."
12,ĐIỀU KHOẢN VÀ ĐIỀU KIỆN MỞ VÀ SỬ DỤNG TÀI KHOẢN ,"ĐIỀU 2.  QUY ĐỊNH CHUNG VỀ MỞ, SỬ DỤNG VÀ QUẢN LÝ TK 
3. Hạn mức giao dịch: được hiểu là hạn mức giao dịch theo loại giao dịch, theo kênh giao dịch 
gồm  tại các  Điểm  giao  dịch  của  Sacombank,  Kênh  trực  tuyến  hoặc  các  kênh  khác  của 
Sacombank triển khai trong từng thời kỳ. 
a.  KH được sử dụng TK theo hạn mức giao dịch đã đăng ký với Sacombank (nếu có). Trường 
hợp Sacombank và KH không có thỏa thuận nào khác, KH được quyền giao dịch với hạn 
mức tối đa bằng số dư được phép sử dụng tại thời điểm KH giao dịch.  
b. Trường hợp KH từ đủ 15 tuổi đến chưa đủ 18 tuổi khi thực hiện giao dịch ghi Nợ có giá trị 
từ 100 triệu đồng/giao dịch trở lên tại Điểm giao dịch của Sacombank, KH phải khai báo 
mục đích giao dịch hợp pháp hợp lệ trước khi thực hiện. 
c.  Tùy theo điều kiện trong từng thời kỳ, Sacombank có thể thay đổi hoặc ấn định hạn mức 
cho các giao dịch của KH trên TK (bao gồm hạn mức dành cho KH dưới 18 tuổi) theo các 
chính sách quản lý rủi ro của ngân hàng và sẽ thông báo cho KH về hạn mức giao dịch áp 
dụng. Trường hợp có sự thay đổi về hạn mức giao dịch, Sacombank sẽ gửi thông báo về 
hạn mức thay đổi cho KH trước chậm nhất 01 ngày làm việc. Trường hợp KH muốn thực 
hiện  các  giao  dịch vượt  quá  hạn  mức quy định  của  Sacombank,  KH  phải đăng ký với 
Sacombank và chấp nhận hoàn toàn rủi ro (nếu có) và phải được Sacombank chấp thuận. 
"
13,ĐIỀU KHOẢN VÀ ĐIỀU KIỆN MỞ VÀ SỬ DỤNG TÀI KHOẢN ,"ĐIỀU 2.  QUY ĐỊNH CHUNG VỀ MỞ, SỬ DỤNG VÀ QUẢN LÝ TK 
4. Số dư duy trì tối thiểu trên TK: KH phải duy trì số dư tối thiểu trên TK theo quy định của 
Sacombank. Trường hợp số dư là ngoại tệ mà Sacombank đã bán cho KH để duy trì số dư tối 
thiểu thì KH phải bán lại cho Sacombank khi đóng TK. "
14,ĐIỀU KHOẢN VÀ ĐIỀU KIỆN MỞ VÀ SỬ DỤNG TÀI KHOẢN ,"ĐIỀU 2.  QUY ĐỊNH CHUNG VỀ MỞ, SỬ DỤNG VÀ QUẢN LÝ TK 
5. Thấu chi: KH có thể sử dụng hạn mức thấu chi nếu có thỏa thuận thấu chi với Sacombank. 
Hạn mức thấu chi, phí, lãi thấu chi và các vấn đề liên quan khác thực hiện theo thỏa thuận 
giữa KH và Sacombank phù hợp với các quy định của Sacombank. "
15,ĐIỀU KHOẢN VÀ ĐIỀU KIỆN MỞ VÀ SỬ DỤNG TÀI KHOẢN ,"ĐIỀU 2.  QUY ĐỊNH CHUNG VỀ MỞ, SỬ DỤNG VÀ QUẢN LÝ TK 
6. Lãi  suất:  KH được hưởng  lãi  trên  số  dư có theo mức  lãi  suất  tiền  gửi  không  kỳ  hạn  do 
Sacombank công bố theo từng thời kỳ. Lãi suất chi trả cho KH được Sacombank tự động trả 
vào TK của KH hàng tháng theo chính sách của Sacombank. "
16,ĐIỀU KHOẢN VÀ ĐIỀU KIỆN MỞ VÀ SỬ DỤNG TÀI KHOẢN ,"ĐIỀU 2.  QUY ĐỊNH CHUNG VỀ MỞ, SỬ DỤNG VÀ QUẢN LÝ TK 
7. Phí dịch vụ 
- Phí quản lý TK, phí giao dịch TK, phí cung cấp thông tin, các phí sử dụng dịch vụ trên TK 
và các phí liên quan khác: theo biểu phí do Sacombank công bố theo từng thời kỳ được 
niêm yết tại Website của Sacombank hoặc tại quầy giao dịch hoặc theo các thỏa thuận 
riêng của KH với Sacombank.  
- Các phí này có thể thay đổi trong từng thời kỳ và sẽ được Sacombank công bố và niêm 
yết  công  khai  trên  Website  của  Sacombank  tối  thiểu 01 ngày trước  khi  áp  dụng  và  KH 
đồng ý Biểu phí mới sẽ tiếp tục có hiệu lực ràng buộc khi KH tiếp tục sử dụng dịch vụ. KH 
có quyền đơn phương chấm dứt dịch vụ nếu không đồng ý với biểu phí mới.  
- Phí quản lý TK được thu định kỳ theo quy định của ngân hàng. Tùy từng loại sản phẩm, 
dịch vụ, yêu cầu mà KH thực hiện trên TK, phí có thể thu định kỳ theo quy định hoặc thu 
ngay/sau khi phát sinh giao dịch.  
- TK bị phong tỏa; dừng giao dịch; phong tỏa hoặc chờ bổ sung thông tin vẫn chịu phí quản 
lý  TK và dịch vụ liên quan trên TK do KH đăng ký (dịch vụ gửi tin  báo, dịch vụ Internet 
Banking & Mobile Banking,...)."
