,instruction,input,output
0,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Are there any taxes applicable on this account?,Zakat and taxes are applicable as per law.
Có bất kỳ loại thuế nào áp dụng cho tài khoản này không?,Zakat và các loại thuế được áp dụng theo quy định của pháp luật.
Phí bảo hiểm hàng tháng cho một chiếc xe trị giá 3 triệu Rupees là bao nhiêu?,"Với mức phí bảo hiểm hiện tại là 1,75% mỗi năm, phí hàng tháng sẽ là 4.375 Rupees. Mức phí bảo hiểm một khi đã được ấn định sẽ giữ nguyên trong suốt thời hạn tài trợ."
RDA Digital Customer Onboarding là gì?,"RDA Digital Customer Onboarding là một dịch vụ đổi mới của Ngân hàng NUST cho phép khách hàng mở và quản lý tài khoản của họ một cách kỹ thuật số, mang lại trải nghiệm liền mạch mà không cần phải đến trực tiếp chi nhánh."
Có điều kiện nào liên quan đến việc duy trì tài khoản ngân hàng để được sử dụng Tài chính NUST Imarat không?,Bảng sao kê tài khoản ngân hàng tối thiểu 1 năm với NUST hoặc Bảng sao kê ngân hàng tối thiểu 2 năm với bất kỳ ngân hàng nào khác.
Chuyển tiền kiều hối là gì?,"Dịch vụ Chuyển tiền kiều hối cho phép người gửi chuyển tiền từ nước ngoài về Pakistan ngay lập tức, thuận tiện và an toàn thông qua kênh ngân hàng hợp pháp."
Ngân hàng có yêu cầu vốn chủ sở hữu cho chương trình này không?,AIF 1 & AIF 2: Tối thiểu 30% (Doanh nghiệp hiện hữu) & Tối thiểu 40% (Doanh nghiệp mới). AIF 3 & AIF 4: Không yêu cầu đối với Doanh nghiệp hiện hữu & Tối thiểu 25% (Doanh nghiệp mới).
Ngân hàng có yêu cầu vốn chủ sở hữu cho chương trình này không?,AIF 1 & AIF 2: Tối thiểu 30% (Doanh nghiệp hiện hữu) & Tối thiểu 40% (Doanh nghiệp mới). AIF 3 & AIF 4: Không yêu cầu đối với Doanh nghiệp hiện hữu & Tối thiểu 25% (Doanh nghiệp mới).
Thuế Zakat và WHT có áp dụng cho Tài khoản Roshan Digital không?,Thuế Zakat và WHT trên lợi nhuận không áp dụng cho tài khoản RDA.
Tài khoản Kỹ thuật số Freelancer của NUST có giới hạn Tín dụng và Ghi nợ nào không?,"Các giới hạn Giao dịch sau được áp dụng: Giới hạn Số dư Tín dụng tối đa 5.000 USD hoặc tương đương, Giới hạn Ghi nợ Hàng tháng 5.000 USD hoặc tương đương, Giới hạn Rút tiền Mặt 500.000 PKR hoặc tương đương / mỗi ngày."
"Đối với tất cả các sản phẩm Banca của NUST Life, có tài liệu quảng cáo không?","Có, tài liệu quảng cáo cho tất cả các sản phẩm Banca của NUST Life đều có sẵn."
NUST cung cấp những loại sản phẩm Tài chính Nhà ở nào?,"Mua Nhà/ Căn hộ/ Chung cư/ Đơn vị Nhà ở, Mua Lô đất (+) cộng với Xây dựng, Xây dựng Nhà/ Đơn vị Nhà ở trên lô đất nhà ở đã sở hữu, Cải tạo Nhà/ Căn hộ/ Chung cư/ Đơn vị Nhà ở, Mở rộng/ Cải thiện, Tính năng Chuyển nhượng Số dư (BTF) đối với cơ sở tài chính hiện có của người vay từ các ngân hàng/TCTD khác. Lưu ý: Tài chính nhà ở sẽ không được cho phép chỉ để mua đất/ lô đất."
Tài khoản Little Champs là gì?,Tài khoản Little Champs là một sản phẩm được thiết kế đặc biệt cho trẻ vị thành niên (cá nhân dưới 18 tuổi). Trẻ em cần sự hỗ trợ của người giám hộ hợp pháp/cha mẹ để mở tài khoản này và sử dụng các tiện ích của nó.
Các khoản phí dịch vụ/tài liệu/pháp lý tại NUST Ujala Finance là bao nhiêu?,Theo thực tế.
Có độ tuổi tối thiểu nào để được hỗ trợ tài chính tại NUST Rice Finance không?,"Tối thiểu 20 tuổi (trong trường hợp doanh nghiệp tư nhân), tối đa 65 tuổi tại thời điểm nộp đơn. Tiêu chí này không áp dụng nếu doanh nghiệp là công ty hợp danh hoặc công ty trách nhiệm hữu hạn. Độ tuổi này có thể được nới lỏng trong trường hợp có kế hoạch kế thừa hiệu quả."
Phí xử lý cho Đơn xin Tài chính Nhà máy Bột mì NUST là bao nhiêu?,"Phí xử lý sẽ được tính @ 0,15% tổng hạn mức đã xử lý/được phê duyệt hoặc 25.000 Rs, tùy theo mức nào cao hơn."
Yêu cầu số dư mở tài khoản và số dư tối thiểu tại NAA là gì?,Tài khoản có thể được mở với 100 Rs và không có yêu cầu số dư tối thiểu.
