cid,topic,text,metadata
1,ĐIỀU KIỆN VÀ ĐIỀU KHOẢN,"# ĐIỀU KIỆN VÀ ĐIỀU KHOẢN
# CHO VAY BẢO ĐẢM BẰNG  SỐ DƯ TIỀN GỬI TRỰC TUYẾN
Bằng việc xác nhận đồng ý với Điều kiện và điều khoản này cùng với toàn bộ thông điệp dữ
liệu Khách hàng (viết tắt là Bên vay) đã khởi tạo, nhập liệu/chọn tại hệ thống và/hoặc tại màn
hình đăng ký vay bảo đảm bằng số dư tiền gửi trên kênh trực tuyến (trên ứng dụng Sacombank
Pay) của Bên cho vay là Sacombank là một phần không tách rời của Giấy đề nghị kiêm hợp
đồng tín dụng kiêm giấy nhận nợ kiêm hợp đồng bảo đảm giữa Sacombank và Bên vay (sau
đây gọi là Hợp đồng). Bên vay thừa nhận rằng: (i) Bên vay đã được Sacombank cung cấp, giải
thích đầy đủ các thông tin liên quan đến khoản vay để quyết định vay trước khi xác nhận đồng
ý Điều kiện và điều khoản này; (ii) Bên vay đã đọc, hiểu và đã chấp nhận bị ràng buộc bởi các
quyền và nghĩa vụ theo Hợp đồng này.
","{""schema_version"": ""1.0.0"", ""original_filename"": ""ĐIỀU KIỆN VÀ ĐIỀU KHOẢN CHO VAY BẢO ĐẢM BẰNG SỐ DƯ TIỀN GỬI TRỰC TUYẾN.pdf"", ""file_type"": ""pdf"", ""mime_type"": ""application/pdf"", ""title"": ""ĐIỀU KIỆN VÀ ĐIỀU KHOẢN CHO VAY BẢO ĐẢM BẰNG SỐ DƯ TIỀN GỬI TRỰC TUYẾN"", ""description"": ""Tài liệu quy định điều kiện, quy trình, phương thức vay và giải ngân cho khoản vay bảo đảm bằng số dư tiền gửi trực tuyến tại Sacombank"", ""topic"": [""vay có bảo đảm"", ""số dư tiền gửi"", ""vay trực tuyến"", ""Sacombank"", ""quy trình vay"", ""điều kiện vay""], ""topic_or"": [""vay thế chấp"", ""vay online"", ""vay tín dụng"", ""vay bảo đảm"", ""tiền gửi có kỳ hạn"", ""khách hàng cá nhân""], ""topic_and"": [""vay"", ""bảo đảm"", ""trực tuyến"", ""Sacombank""], ""language"": ""vi"", ""expiration_date"": null, ""effective_date"": null, ""related_document"": [], ""source_url"": null, ""tags"": [""Vay"", ""Bảo đảm"", ""Số dư tiền gửi"", ""Sacombank"", ""Vay trực tuyến""], ""category"": ""Sản phẩm ngân hàng"", ""document_type"": ""Điều kiện và điều khoản"", ""status"": ""có hiệu lực""}"
2,ĐIỀU KIỆN VÀ ĐIỀU KHOẢN,"# ĐIỀU 1: GIẢI THÍCH TỪ NGỮ:
Trong Điều kiện và điều khoản này, các từ ngữ sau đây được áp dụng trong quá trình thực hiện
thủ tục vay bảo đảm bằng số dư tiền gửi và được hiểu như sau:
1.1. Sacombank là Ngân hàng TMCP Sài Gòn Thương Tín, mã số doanh nghiệp
0301103908, địa chỉ 266 – 268 Nam Kỳ Khởi Nghĩa, Phường Võ Thị Sáu, Quận 3, Tp.
Hồ Chí Minh.
1.2. Khách hàng (KH) là cá nhân đã đăng ký sử dụng dịch vụ trên ứng dụng Sacombank
Pay và thỏa điều kiện cho vay bảo đảm bằng số dư tiền gửi của Sacombank tại từng
thời điểm.
1.3. Điểm giao dịch là các Chi nhánh và Phòng giao dịch của Sacombank trên lãnh thổ Việt
1.4. Sacombank Pay: Là ứng dụng được cài đặt và sử dụng trên thiết bị di động (bao gồm
điện thoại di động thông minh và thiết bị di động thông minh) có kết nối Internet do
Sacombank phát triển cho phép Người dùng tìm kiếm và cập nhật kịp thời các ưu đãi
từ Sacombank, thanh toán tiền hàng hóa, dịch vụ, chuyển tiền, rút tiền mặt tại
ATM/STM Sacombank và sử dụng các dịch vụ khác do Sacombank cung cấp trong
từng thời kỳ.
1.5. Số dư tiền gửi (SDTG) là số dư tiền gửi tiết kiệm, tiền gửi có kỳ hạn bằng đồng Việt
Nam (VND) của Bên vay mở thông qua kênh trực tuyến (eBanking/Sacombank Pay)
và/hoặc tại quầy giao dịch của Sacombank và được hưởng lãi suất có kỳ hạn tương ứng
cùng phương thức tái tục (tái tục vốn/tái tục vốn và lãi) và phương thức lãnh lãi phù
hợp và thỏa điều kiện là tài sản đảm bảo theo quy định của Sacombank tại từng thời
1.6. Tài khoản tiền vay (TKTV) là TKTV trực tuyến bằng VND, do Sacombank tạo theo
yêu cầu của Bên vay để quản lý các thông tin liên quan đến khoản vay, gồm: số tiền
vay, mức lãi suất vay, thời hạn vay, ngày trả nợ vay và các phí liên quan đến khoản vay
(nếu có)...
1.7. Tài khoản nhận giải ngân: là tài khoản thanh toán (TKTT) của chính Bên vay mở tại
Sacombank và được Bên vay chỉ định và/hoặc được hệ thống mặc định liên kết để giải
ngân khoản vay. Tài khoản nhận giải ngân được đăng ký trích nợ tự động thanh toán
nợ gốc, lãi vay và các khoản phí liên quan (nếu có).
1.8. Ngày đến hạn: là ngày mà Bên vay phải trả hết nợ gốc, lãi tiền vay và các chi phí phát
sinh (nếu có) cho Sacombank. Hệ thống của Sacombank đã thông báo cho Bên vay tại
màn hình đăng ký vay bảo đảm bằng số dư tiền gửi trên kênh trực tuyến.
1.9. Ngày làm việc: các ngày làm việc theo quy định của Sacombank từ thứ 2 đến thứ 6.
1.10. Các khái niệm khác: được định nghĩa trong Điều kiện và điều khoản sử dụng dịch vụ
ứng dụng Sacombank Pay,… (sau đây gọi là Điều kiện và điều khoản sử dụng dịch vụ
kênh trực tuyến của Sacombank).
","{""schema_version"": ""1.0.0"", ""original_filename"": ""ĐIỀU KIỆN VÀ ĐIỀU KHOẢN CHO VAY BẢO ĐẢM BẰNG SỐ DƯ TIỀN GỬI TRỰC TUYẾN.pdf"", ""file_type"": ""pdf"", ""mime_type"": ""application/pdf"", ""title"": ""ĐIỀU KIỆN VÀ ĐIỀU KHOẢN CHO VAY BẢO ĐẢM BẰNG SỐ DƯ TIỀN GỬI TRỰC TUYẾN"", ""description"": ""Tài liệu quy định điều kiện, quy trình, phương thức vay và giải ngân cho khoản vay bảo đảm bằng số dư tiền gửi trực tuyến tại Sacombank"", ""topic"": [""vay có bảo đảm"", ""số dư tiền gửi"", ""vay trực tuyến"", ""Sacombank"", ""quy trình vay"", ""điều kiện vay""], ""topic_or"": [""vay thế chấp"", ""vay online"", ""vay tín dụng"", ""vay bảo đảm"", ""tiền gửi có kỳ hạn"", ""khách hàng cá nhân""], ""topic_and"": [""vay"", ""bảo đảm"", ""trực tuyến"", ""Sacombank""], ""language"": ""vi"", ""expiration_date"": null, ""effective_date"": null, ""related_document"": [], ""source_url"": null, ""tags"": [""Vay"", ""Bảo đảm"", ""Số dư tiền gửi"", ""Sacombank"", ""Vay trực tuyến""], ""category"": ""Sản phẩm ngân hàng"", ""document_type"": ""Điều kiện và điều khoản"", ""status"": ""có hiệu lực""}"
3,ĐIỀU KIỆN VÀ ĐIỀU KHOẢN,"# ĐIỀU 2: QUY TRÌNH, SỐ TIỀN VAY
2.1. Quy trình vay: Khi có nhu cầu vay vốn, Bên vay đăng nhập ứng dụng Sacombank Pay
của Sacombank, khởi tạo, nhập liệu/chọn các thông tin để đề nghị nhu cầu vay vốn. Hệ
thống Sacombank khởi tạo TKTV. Theo đó, Bên vay đồng ý vay Sacombank một khoản
vay phục vụ nhu cầu đời sống. Bên vay chỉ được Sacombank cấp tín dụng khi Bên vay
đáp ứng đầy đủ điều kiện vay vốn của Sacombank. Trường hợp Bên vay đủ điều kiện
vay vốn và hoàn tất quy trình/quy định của Sacombank, Sacombank sẽ thông báo giải
ngân cho Bên vay.
2.2. Số tiền vay: tối thiểu 1.000.000 VND/khoản vay và không vượt quá 100.000.000 VND.
Bên vay có thể vay nhiều khoản vay của sản phẩm nhưng tổng dư nợ theo sản phẩm
này không vượt quá số tiền vay tối đa và tổng dư nợ cho vay đối với mục đích vay vốn
phục vụ nhu cầu đời sống bằng phương tiện điện tử tại Sacombank không vượt quá
100.000.000 VND tại một thời điểm. Các tham số này do Sacombank quy định và có
thể được thay đổi trong từng thời kỳ.
2.3. Phương thức giải ngân: Bên vay nhận tiền vay bằng phương thức chuyển khoản vào Tài
khoản nhận giải ngân đã đăng ký với Sacombank. Tài khoản nhận giải ngân không đồng
thời là tài khoản được Sacombank cấp hạn mức thấu chi và/hoặc tài khoản có số dư khả
dụng âm và/hoặc tài khoản đang bị phong tỏa theo quy định của pháp luật.
","{""schema_version"": ""1.0.0"", ""original_filename"": ""ĐIỀU KIỆN VÀ ĐIỀU KHOẢN CHO VAY BẢO ĐẢM BẰNG SỐ DƯ TIỀN GỬI TRỰC TUYẾN.pdf"", ""file_type"": ""pdf"", ""mime_type"": ""application/pdf"", ""title"": ""ĐIỀU KIỆN VÀ ĐIỀU KHOẢN CHO VAY BẢO ĐẢM BẰNG SỐ DƯ TIỀN GỬI TRỰC TUYẾN"", ""description"": ""Tài liệu quy định điều kiện, quy trình, phương thức vay và giải ngân cho khoản vay bảo đảm bằng số dư tiền gửi trực tuyến tại Sacombank"", ""topic"": [""vay có bảo đảm"", ""số dư tiền gửi"", ""vay trực tuyến"", ""Sacombank"", ""quy trình vay"", ""điều kiện vay""], ""topic_or"": [""vay thế chấp"", ""vay online"", ""vay tín dụng"", ""vay bảo đảm"", ""tiền gửi có kỳ hạn"", ""khách hàng cá nhân""], ""topic_and"": [""vay"", ""bảo đảm"", ""trực tuyến"", ""Sacombank""], ""language"": ""vi"", ""expiration_date"": null, ""effective_date"": null, ""related_document"": [], ""source_url"": null, ""tags"": [""Vay"", ""Bảo đảm"", ""Số dư tiền gửi"", ""Sacombank"", ""Vay trực tuyến""], ""category"": ""Sản phẩm ngân hàng"", ""document_type"": ""Điều kiện và điều khoản"", ""status"": ""có hiệu lực""}"
4,ĐIỀU KIỆN VÀ ĐIỀU KHOẢN,"# ĐIỀU 3: THỜI HẠN CHO VAY
Thời hạn cho vay: là thời hạn do Bên vay đồng ý theo kết quả tính toán tại hệ thống của
Sacombank, tối đa bằng thời hạn gửi còn lại của SDTG. Thời hạn vay là khoảng thời gian được
tính từ ngày tiếp theo của ngày giải ngân đầu tiên cho Bên vay đến thời điểm Bên vay phải trả
hết nợ gốc, lãi tiền vay và các chi phí phát sinh (nếu có) cho Sacombank. Thời hạn cho vay
được hệ thống trực tuyến tự động tính căn cứ trên ngày giải ngân theo yêu cầu Bên vay.
","{""schema_version"": ""1.0.0"", ""original_filename"": ""ĐIỀU KIỆN VÀ ĐIỀU KHOẢN CHO VAY BẢO ĐẢM BẰNG SỐ DƯ TIỀN GỬI TRỰC TUYẾN.pdf"", ""file_type"": ""pdf"", ""mime_type"": ""application/pdf"", ""title"": ""ĐIỀU KIỆN VÀ ĐIỀU KHOẢN CHO VAY BẢO ĐẢM BẰNG SỐ DƯ TIỀN GỬI TRỰC TUYẾN"", ""description"": ""Tài liệu quy định điều kiện, quy trình, phương thức vay và giải ngân cho khoản vay bảo đảm bằng số dư tiền gửi trực tuyến tại Sacombank"", ""topic"": [""vay có bảo đảm"", ""số dư tiền gửi"", ""vay trực tuyến"", ""Sacombank"", ""quy trình vay"", ""điều kiện vay""], ""topic_or"": [""vay thế chấp"", ""vay online"", ""vay tín dụng"", ""vay bảo đảm"", ""tiền gửi có kỳ hạn"", ""khách hàng cá nhân""], ""topic_and"": [""vay"", ""bảo đảm"", ""trực tuyến"", ""Sacombank""], ""language"": ""vi"", ""expiration_date"": null, ""effective_date"": null, ""related_document"": [], ""source_url"": null, ""tags"": [""Vay"", ""Bảo đảm"", ""Số dư tiền gửi"", ""Sacombank"", ""Vay trực tuyến""], ""category"": ""Sản phẩm ngân hàng"", ""document_type"": ""Điều kiện và điều khoản"", ""status"": ""có hiệu lực""}"
5,ĐIỀU KIỆN  VÀ ĐIỀU KHOẢN,"# ĐIỀU KIỆN  VÀ ĐIỀU KHOẢN
# CHO VAY  TÍN CHẤP TỪ LƯƠNG  TRỰC  TUYẾN
Bằng việc xác nhận đồng ý với Điều kiện và điều khoản này cùng với toàn bộ thông điệp dữ liệu
Khách hàng (viết tắt là Bên vay) đã khởi tạo, nhập liệu/chọn tại hệ thống và/hoặc tại màn hình đăng
ký Vay tín chấp từ lương trực tuyến (trên ứng dụng Sacombank Pay) của Bên cho vay là Sacombank
là một phần không tách rời của Giấy đề nghị vay vốn kiêm hợp đồng tín dụng kiêm giấy nhận nợ
(sau đây gọi là Hợp đồng) để thực hiện vay trên kênh trực tuyến. Bên vay thừa nhận rằng: (i) Bên
vay đã được Sacombank cung cấp, giải thích đầy đủ các thông tin liên quan đến khoản vay để quyết
định vay trước khi xác nhận đồng ý Điều kiện và điều khoản này, (ii) Bên vay đã đọc, hiểu và chấp
nhận bị ràng buộc bởi các quyền và nghĩa vụ theo Hợp đồng này.
","{""schema_version"": ""1.0.0"", ""original_filename"": ""ĐIỀU KIỆN VÀ ĐIỀU KHOẢN CHO VAY TÍN CHẤP TỪ LƯƠNG TRỰC TUYẾN.pdf"", ""file_type"": ""pdf"", ""mime_type"": ""application/pdf"", ""title"": ""ĐIỀU KIỆN VÀ ĐIỀU KHOẢN CHO VAY TÍN CHẤP TỪ LƯƠNG TRỰC TUYẾN"", ""description"": ""Tài liệu quy định điều kiện, quy trình, phương thức vay và giải ngân dành cho khách hàng vay tín chấp từ lương trực tuyến tại Sacombank"", ""topic"": [""vay tín chấp"", ""vay từ lương"", ""vay trực tuyến"", ""Sacombank"", ""quy trình vay"", ""điều kiện vay""], ""topic_or"": [""vay không thế chấp"", ""vay online"", ""lương chuyển khoản"", ""khách hàng cá nhân""], ""topic_and"": [""vay"", ""tín chấp"", ""trực tuyến"", ""Sacombank""], ""language"": ""vi"", ""expiration_date"": null, ""effective_date"": null, ""related_document"": [], ""source_url"": null, ""tags"": [""Vay"", ""Tín chấp"", ""Lương chuyển khoản"", ""Sacombank"", ""Vay trực tuyến""], ""category"": ""Sản phẩm ngân hàng"", ""document_type"": ""Điều kiện và điều khoản"", ""status"": ""có hiệu lực""}"
6,ĐIỀU KIỆN  VÀ ĐIỀU KHOẢN,"# ĐIỀU 1. GIẢI THÍCH TỪ NGỮ:
Trong Điều kiện và điều khoản này, các từ ngữ sau đây được áp dụng trong quá trình thực hiện thủ
tục vay tín chấp từ lương trực tuyến và được hiểu như sau:
1.1. Sacombank là Ngân hàng TMCP Sài Gòn Thương Tín, mã số doanh nghiệp 0301103908, địa
chỉ 266 – 268 Nam Kỳ Khởi Nghĩa, Phường Võ Thị Sáu, Quận 3, Tp. Hồ Chí Minh.
1.2. Khách hàng (KH) là cá nhân đã đăng ký sử dụng dịch vụ trên ứng dụng Sacombank Pay và
thỏa điều kiện cho vay tín chấp từ lương trực tuyến của Sacombank tại từng thời điểm.
1.3. Điểm giao dịch là các Chi nhánh và Phòng giao dịch của Sacombank trên lãnh thổ Việt Nam.
1.4. Tài khoản thanh toán chi lương (TKTT Payroll) là tài khoản thanh toán (TKTT) đồng Việt
Nam nhận thu nhập (lương) chuyển vào hàng tháng của Bên vay.
1.5. Tài khoản tiền vay (TKTV) là TKTV trực tuyến bằng đồng Việt Nam, do Sacombank tạo theo
yêu cầu của Bên vay để quản lý các thông tin liên quan đến khoản vay, gồm: số tiền vay, mức
lãi suất vay, thời hạn vay, ngày trả nợ vay và các phí liên quan đến khoản vay (nếu có)…
1.6. Tài khoản nhận giải ngân: là tài khoản thanh toán (TKTT) của chính Bên vay mở tại
Sacombank và được Bên vay chỉ định và/hoặc được hệ thống mặc định liên kết để giải ngân
khoản vay. Tài khoản nhận giải ngân được đăng ký trích nợ tự động thanh toán nợ gốc, lãi vay
và các khoản phí có liên quan:
- Đối với KH thông thường: tài khoản nhận giải ngân phải là TKTT Payroll.
- Đối với CBNV Sacombank: có thể chọn TKTT bất kỳ để nhận giải ngân.
1.7. Ngày làm việc: các ngày làm việc theo quy định của Sacombank từ thứ 2 đến thứ 6 (từ 9:00
đến 20:00). Các tham số này do Sacombank quy định và có thể được thay đổi trong từng thời
1.8. Các khái niệm khác: được định nghĩa trong Điều kiện và điều khoản sử dụng dịch vụ ứng dụng
Sacombank Pay,... sau đây gọi là Điều kiện và điều khoản sử dụng dịch vụ kênh trực tuyến
của Sacombank.
","{""schema_version"": ""1.0.0"", ""original_filename"": ""ĐIỀU KIỆN VÀ ĐIỀU KHOẢN CHO VAY TÍN CHẤP TỪ LƯƠNG TRỰC TUYẾN.pdf"", ""file_type"": ""pdf"", ""mime_type"": ""application/pdf"", ""title"": ""ĐIỀU KIỆN VÀ ĐIỀU KHOẢN CHO VAY TÍN CHẤP TỪ LƯƠNG TRỰC TUYẾN"", ""description"": ""Tài liệu quy định điều kiện, quy trình, phương thức vay và giải ngân dành cho khách hàng vay tín chấp từ lương trực tuyến tại Sacombank"", ""topic"": [""vay tín chấp"", ""vay từ lương"", ""vay trực tuyến"", ""Sacombank"", ""quy trình vay"", ""điều kiện vay""], ""topic_or"": [""vay không thế chấp"", ""vay online"", ""lương chuyển khoản"", ""khách hàng cá nhân""], ""topic_and"": [""vay"", ""tín chấp"", ""trực tuyến"", ""Sacombank""], ""language"": ""vi"", ""expiration_date"": null, ""effective_date"": null, ""related_document"": [], ""source_url"": null, ""tags"": [""Vay"", ""Tín chấp"", ""Lương chuyển khoản"", ""Sacombank"", ""Vay trực tuyến""], ""category"": ""Sản phẩm ngân hàng"", ""document_type"": ""Điều kiện và điều khoản"", ""status"": ""có hiệu lực""}"
7,ĐIỀU KIỆN  VÀ ĐIỀU KHOẢN,"# ĐIỀU 2. QUY TRÌNH, SỐ TIỀN VAY.
2.1. Quy trình vay: Khi có nhu cầu vay vốn, Bên vay đăng nhập ứng dụng Sacombank Pay của
Sacombank, khởi tạo, nhập liệu/chọn các thông tin để đề nghị nhu cầu vay vốn. Hệ thống
Sacombank khởi tạo TKTV. Theo đó, Bên vay đồng ý vay Sacombank một khoản vay phục
vụ nhu cầu đời sống. Bên vay chỉ được Sacombank cấp tín dụng khi Bên vay đáp ứng đầy đủ
các điều kiện vay vốn của Sacombank. Trường hợp Bên vay đủ điều kiện vay vốn và hoàn tất
quy trình/quy định của Sacombank, Sacombank sẽ thông báo giải ngân cho Bên vay.
2.2. Số tiền vay: tối thiểu 5.000.000 đồng/khoản vay và tối đa là 50.000.000 đồng/khoản vay. Bên
vay có thể vay nhiều khoản vay của sản phẩm nhưng tổng dư nợ theo sản phẩm này không
vượt quá số tiền vay tối đa và tổng dư nợ cho vay đối với mục đích vay vốn phục vụ nhu cầu
đời sống bằng phương tiện điện tử tại Sacombank không vượt quá 100.000.000 đồng tại một
thời điểm. Các tham số này do Sacombank quy định và có thể được thay đổi trong từng thời
2.3. Phương thức giải ngân: Bên vay nhận tiền vay bằng phương thức chuyển khoản vào Tài khoản
nhận giải ngân đã đăng ký với Sacombank. Tài khoản nhận giải ngân không đồng thời là tài
khoản được Sacombank cấp hạn mức thấu chi và/hoặc tài khoản có số dư khả dụng âm và/hoặc
tài khoản đang bị phong tỏa theo quy định của pháp luật.
","{""schema_version"": ""1.0.0"", ""original_filename"": ""ĐIỀU KIỆN VÀ ĐIỀU KHOẢN CHO VAY TÍN CHẤP TỪ LƯƠNG TRỰC TUYẾN.pdf"", ""file_type"": ""pdf"", ""mime_type"": ""application/pdf"", ""title"": ""ĐIỀU KIỆN VÀ ĐIỀU KHOẢN CHO VAY TÍN CHẤP TỪ LƯƠNG TRỰC TUYẾN"", ""description"": ""Tài liệu quy định điều kiện, quy trình, phương thức vay và giải ngân dành cho khách hàng vay tín chấp từ lương trực tuyến tại Sacombank"", ""topic"": [""vay tín chấp"", ""vay từ lương"", ""vay trực tuyến"", ""Sacombank"", ""quy trình vay"", ""điều kiện vay""], ""topic_or"": [""vay không thế chấp"", ""vay online"", ""lương chuyển khoản"", ""khách hàng cá nhân""], ""topic_and"": [""vay"", ""tín chấp"", ""trực tuyến"", ""Sacombank""], ""language"": ""vi"", ""expiration_date"": null, ""effective_date"": null, ""related_document"": [], ""source_url"": null, ""tags"": [""Vay"", ""Tín chấp"", ""Lương chuyển khoản"", ""Sacombank"", ""Vay trực tuyến""], ""category"": ""Sản phẩm ngân hàng"", ""document_type"": ""Điều kiện và điều khoản"", ""status"": ""có hiệu lực""}"
8,ĐIỀU KIỆN  VÀ ĐIỀU KHOẢN,"# ĐIỀU 3. THỜI HẠN CHO VAY
Thời hạn cho vay: là thời hạn do Bên vay đồng ý chọn tại hệ thống của Sacombank tối đa 24
tháng. Các tham số này do Sacombank quy định và có thể được thay đổi trong từng thời kỳ.
Thời hạn vay là khoảng thời gian được tính từ ngày tiếp theo của ngày giải ngân đầu tiên cho
Bên vay đến thời điểm Bên vay phải trả hết nợ gốc và lãi tiền vay và các chi phí phát sinh cho
Sacombank. Thời hạn vay được hệ thống trực tuyến tự động tính căn cứ trên ngày giải ngân
theo yêu cầu Bên vay.
","{""schema_version"": ""1.0.0"", ""original_filename"": ""ĐIỀU KIỆN VÀ ĐIỀU KHOẢN CHO VAY TÍN CHẤP TỪ LƯƠNG TRỰC TUYẾN.pdf"", ""file_type"": ""pdf"", ""mime_type"": ""application/pdf"", ""title"": ""ĐIỀU KIỆN VÀ ĐIỀU KHOẢN CHO VAY TÍN CHẤP TỪ LƯƠNG TRỰC TUYẾN"", ""description"": ""Tài liệu quy định điều kiện, quy trình, phương thức vay và giải ngân dành cho khách hàng vay tín chấp từ lương trực tuyến tại Sacombank"", ""topic"": [""vay tín chấp"", ""vay từ lương"", ""vay trực tuyến"", ""Sacombank"", ""quy trình vay"", ""điều kiện vay""], ""topic_or"": [""vay không thế chấp"", ""vay online"", ""lương chuyển khoản"", ""khách hàng cá nhân""], ""topic_and"": [""vay"", ""tín chấp"", ""trực tuyến"", ""Sacombank""], ""language"": ""vi"", ""expiration_date"": null, ""effective_date"": null, ""related_document"": [], ""source_url"": null, ""tags"": [""Vay"", ""Tín chấp"", ""Lương chuyển khoản"", ""Sacombank"", ""Vay trực tuyến""], ""category"": ""Sản phẩm ngân hàng"", ""document_type"": ""Điều kiện và điều khoản"", ""status"": ""có hiệu lực""}"
9,THÔNG  TIN CHI TIẾT CÁC  LOẠI  VAY,"# THÔNG  TIN CHI TIẾT CÁC  LOẠI  VAY
# DÀNH  CHO  KHÁCH   HÀNG  CÁ  NHÂN
# 1. Vay tiêu dùng phục vụ đời sống:
- Tiện ích:
Đáp ứng tất cả nhu cầu vay tiêu dùng cá nhân Sacombank.
Hồ sơ đơn giản.
- Đặc tính:
Số tiền vay đến 100% nhu cầu.
Thời hạn vay lên đến 20 năm.
Tài sản bảo đảm là bất động sản và phương tiện vận chuyển….
- Điều kiện và thủ tục:
CCCD, Xác nhận thông tin về cư trú.
Chứng từ chứng minh thu nhập, mục đích sử dụng vốn.
Hồ sơ tài sản thế chấp (nhà, đất, xe ô tô....).
- Tích điểm đổi quà:
Được tích lũy điểm đổi hàng trăm quà tặng hấp dẫn, thuộc nhiều lĩnh vực: Siêu thị
- Mua sắm, Điện máy, Nhà hàng - Ẩm thực, Thời trang - Làm đẹp, Quà tặng hiện
vật, Dặm bay - Dặm thưởng.
","{""schema_version"": ""1.0.0"", ""original_filename"": ""THÔNG TIN CHI TIẾT CÁC LOẠI VAY DÀNH CHO KHÁCH HÀNG CÁ NHÂN.pdf"", ""file_type"": ""pdf"", ""mime_type"": ""application/pdf"", ""title"": ""THÔNG TIN CHI TIẾT CÁC LOẠI VAY DÀNH CHO KHÁCH HÀNG CÁ NHÂN"", ""description"": ""Tài liệu tổng hợp thông tin chi tiết về các loại hình vay vốn dành cho khách hàng cá nhân tại Sacombank, bao gồm vay tiêu dùng, vay mua nhà, vay sản xuất kinh doanh, vay du học và nhiều hình thức khác."", ""topic"": [""vay tiêu dùng"", ""vay mua nhà"", ""vay mua xe"", ""vay sản xuất kinh doanh"", ""vay thấu chi"", ""vay tín chấp"", ""vay du học"", ""Sacombank""], ""topic_or"": [""vay cá nhân"", ""vay vốn ngân hàng"", ""vay online"", ""vay tiêu dùng cá nhân"", ""dịch vụ ngân hàng"", ""khách hàng cá nhân""], ""topic_and"": [""vay"", ""khách hàng cá nhân"", ""Sacombank""], ""language"": ""vi"", ""expiration_date"": null, ""effective_date"": null, ""related_document"": [], ""source_url"": null, ""tags"": [""Vay"", ""Khách hàng cá nhân"", ""Sacombank"", ""Tiêu dùng"", ""Sản xuất kinh doanh"", ""Mua nhà"", ""Mua xe"", ""Du học""], ""category"": ""Sản phẩm ngân hàng"", ""document_type"": ""Tài liệu thông tin sản phẩm"", ""status"": ""có hiệu lực""}"
10,THÔNG  TIN CHI TIẾT CÁC  LOẠI  VAY,"# 2. Vay tín chấp từ lương trực tuyến:
- Tiện ích:
Đáp ứng nhu cầu tài chính nhanh chóng và dễ dàng với thủ tục đơn giản, tự
động, không tiếp xúc dành cho khách hàng đang được chi lương qua
Sacombank có sử dụng Sacombank Pay.
Số tiền vay đến 20 triệu VND.
Thời hạn vay đến 24 tháng.
Không cần thế chấp tài sản
- Điều kiện và thủ tục:
Áp dụng cho khách hàng đang được chi lương qua Sacombank tối thiểu 6
tháng.
Có ứng dụng Sacombank Pay và đã định danh cấp 2.
- Hướng dẫn đăng ký:
Đăng nhập Sacombank Pay
Chọn Vay tiêu dùng
Chọn Vay tín chấp từ lương
","{""schema_version"": ""1.0.0"", ""original_filename"": ""THÔNG TIN CHI TIẾT CÁC LOẠI VAY DÀNH CHO KHÁCH HÀNG CÁ NHÂN.pdf"", ""file_type"": ""pdf"", ""mime_type"": ""application/pdf"", ""title"": ""THÔNG TIN CHI TIẾT CÁC LOẠI VAY DÀNH CHO KHÁCH HÀNG CÁ NHÂN"", ""description"": ""Tài liệu tổng hợp thông tin chi tiết về các loại hình vay vốn dành cho khách hàng cá nhân tại Sacombank, bao gồm vay tiêu dùng, vay mua nhà, vay sản xuất kinh doanh, vay du học và nhiều hình thức khác."", ""topic"": [""vay tiêu dùng"", ""vay mua nhà"", ""vay mua xe"", ""vay sản xuất kinh doanh"", ""vay thấu chi"", ""vay tín chấp"", ""vay du học"", ""Sacombank""], ""topic_or"": [""vay cá nhân"", ""vay vốn ngân hàng"", ""vay online"", ""vay tiêu dùng cá nhân"", ""dịch vụ ngân hàng"", ""khách hàng cá nhân""], ""topic_and"": [""vay"", ""khách hàng cá nhân"", ""Sacombank""], ""language"": ""vi"", ""expiration_date"": null, ""effective_date"": null, ""related_document"": [], ""source_url"": null, ""tags"": [""Vay"", ""Khách hàng cá nhân"", ""Sacombank"", ""Tiêu dùng"", ""Sản xuất kinh doanh"", ""Mua nhà"", ""Mua xe"", ""Du học""], ""category"": ""Sản phẩm ngân hàng"", ""document_type"": ""Tài liệu thông tin sản phẩm"", ""status"": ""có hiệu lực""}"
